EVCC,VCC,NGC,RAJ2000,DEJ2000,Offset,cz,MmI,MmV,MTyp1,MTyp2,TT1,MTypV,umag,gmag,rmag,imag,zmag,Rad,R50,DR7,Sloan,Simbad,NED
984,1761,,189.61559999999997,14.077199999999998,0.106,-158.9,M,P,dE,RA,400,dE5?,18.24,16.61,16.02,15.73,15.51,24.24,6.08,DR7,Sloan,Simbad,NED
985,1760,4586,189.6186,4.318999999999999,0.911,780.3,M,P,Sa,RE,201,Sa,14.13,12.24,11.48,11.02,10.76,149.44,28.84,DR7,Sloan,Simbad,NED
986,1762,,189.634,10.376599999999998,0.066,192.8,M,M,dE,RA,400,dE6,18.08,16.33,15.77,15.44,15.56,33.7,8.01,DR7,Sloan,Simbad,NED
987,1764,,189.65249999999997,6.503399999999999,1.472,1489.4,M,M,dE,RA,400,dE4,17.84,16.66,16.24,15.82,15.68,36.44,10.73,DR7,Sloan,Simbad,NED
988,1767,,189.6563,9.675199999999998,0.917,1485.6,M,M,dE(N),RA,401,"dE5,N",17.09,16.34,15.86,15.42,15.81,45.39,12.15,DR7,Sloan,Simbad,NED
991,1779,,189.76959999999997,14.731099999999998,0.247,1246.2,M,M,dS0,BA,410,dS06:,16.11,14.77,14.21,13.94,13.59,49.72,11.75,DR7,Sloan,Simbad,NED
993,1781,,189.79889999999997,8.0726,0.55,1669.4,M,M,dE,RA,400,dE4,18.61,17.87,17.3,16.87,17.75,27.56,8.27,DR7,Sloan,Simbad,NED
995,1785,,189.81539999999998,11.269799999999998,0.138,1545.7,M,M,dE(N),RA,401,"dE3,N",18.75,17.56,16.99,16.85,16.23,31.08,9.65,DR7,Sloan,Simbad,NED
996,0,4592,189.8275,-0.5316,2.41,1082.4,M," ",Sd,BE,204,,12.97,12.06,11.7,11.51,11.46,168.16,31.32,DR7,Sloan,Simbad,NED
999,1794,,189.86279999999996,11.776399999999999,0.095,1373.1,M,M,dE(N),RA,401,"dE5:,N",19.49,17.57,16.99,16.69,16.78,28.55,6.68,DR7,Sloan,Simbad,NED
1001,1796,,189.87529999999998,12.680699999999998,0.795,585.2,M,M,dE(N),BA,401,"dE5:,N:",17.61,16.11,15.62,15.54,15.32,58.5,14.91,DR7,Sloan,Simbad,NED
